receptor,ligand,name,pk,rmsd
/es01/paratera/sce0413/czn/part4/3D8W_frame39/protein.pdb,/es01/paratera/sce0413/czn/part4/3D8W_frame39/ligand.sdf,3d8w_frame39,9.0,4.807
/es01/paratera/sce0413/czn/part4/1NLO_frame99/protein.pdb,/es01/paratera/sce0413/czn/part4/1NLO_frame99/ligand.sdf,1nlo_frame99,5.47,2.125
/es01/paratera/sce0413/czn/part4/2H96_frame35/protein.pdb,/es01/paratera/sce0413/czn/part4/2H96_frame35/ligand.sdf,2h96_frame35,6.64,1.022
/es01/paratera/sce0413/czn/part4/1H35_frame75/protein.pdb,/es01/paratera/sce0413/czn/part4/1H35_frame75/ligand.sdf,1h35_frame75,7.54,3.287
/es01/paratera/sce0413/czn/part4/4DCD_frame47/protein.pdb,/es01/paratera/sce0413/czn/part4/4DCD_frame47/ligand.sdf,4dcd_frame47,5.75,2.099
/es01/paratera/sce0413/czn/part4/5FDG_frame15/protein.pdb,/es01/paratera/sce0413/czn/part4/5FDG_frame15/ligand.sdf,5fdg_frame15,6.37,4.379
/es01/paratera/sce0413/czn/part4/3MEA_frame91/protein.pdb,/es01/paratera/sce0413/czn/part4/3MEA_frame91/ligand.sdf,3mea_frame91,6.3,3.048
/es01/paratera/sce0413/czn/part4/3PJ2_frame75/protein.pdb,/es01/paratera/sce0413/czn/part4/3PJ2_frame75/ligand.sdf,3pj2_frame75,5.14,3.477
/es01/paratera/sce0413/czn/part4/3GM0_frame63/protein.pdb,/es01/paratera/sce0413/czn/part4/3GM0_frame63/ligand.sdf,3gm0_frame63,7.77,3.206
/es01/paratera/sce0413/czn/part4/3CTQ_frame11/protein.pdb,/es01/paratera/sce0413/czn/part4/3CTQ_frame11/ligand.sdf,3ctq_frame11,7.4,1.242
/es01/paratera/sce0413/czn/part4/3RL4_frame67/protein.pdb,/es01/paratera/sce0413/czn/part4/3RL4_frame67/ligand.sdf,3rl4_frame67,5.42,6.137
/es01/paratera/sce0413/czn/part4/6HOV_frame55/protein.pdb,/es01/paratera/sce0413/czn/part4/6HOV_frame55/ligand.sdf,6hov_frame55,3.3,2.83
/es01/paratera/sce0413/czn/part4/4PIS_frame27/protein.pdb,/es01/paratera/sce0413/czn/part4/4PIS_frame27/ligand.sdf,4pis_frame27,7.22,2.054
/es01/paratera/sce0413/czn/part4/2BPV_frame55/protein.pdb,/es01/paratera/sce0413/czn/part4/2BPV_frame55/ligand.sdf,2bpv_frame55,7.67,3.367
/es01/paratera/sce0413/czn/part4/4NNW_frame75/protein.pdb,/es01/paratera/sce0413/czn/part4/4NNW_frame75/ligand.sdf,4nnw_frame75,6.61,4.626
