receptor,ligand,name,pk,rmsd
/es01/paratera/sce0413/czn/part4/2VVC_frame3/protein.pdb,/es01/paratera/sce0413/czn/part4/2VVC_frame3/ligand.sdf,2vvc_frame3,8.52,1.791
/es01/paratera/sce0413/czn/part4/2FGU_frame23/protein.pdb,/es01/paratera/sce0413/czn/part4/2FGU_frame23/ligand.sdf,2fgu_frame23,9.18,1.898
/es01/paratera/sce0413/czn/part4/5F90_frame31/protein.pdb,/es01/paratera/sce0413/czn/part4/5F90_frame31/ligand.sdf,5f90_frame31,4.85,4.176
/es01/paratera/sce0413/czn/part4/1KWR_frame51/protein.pdb,/es01/paratera/sce0413/czn/part4/1KWR_frame51/ligand.sdf,1kwr_frame51,6.6,2.118
/es01/paratera/sce0413/czn/part4/5ERG_frame51/protein.pdb,/es01/paratera/sce0413/czn/part4/5ERG_frame51/ligand.sdf,5erg_frame51,4.35,3.965
/es01/paratera/sce0413/czn/part4/3QXV_frame87/protein.pdb,/es01/paratera/sce0413/czn/part4/3QXV_frame87/ligand.sdf,3qxv_frame87,8.4,2.285
/es01/paratera/sce0413/czn/part4/3LAU_frame55/protein.pdb,/es01/paratera/sce0413/czn/part4/3LAU_frame55/ligand.sdf,3lau_frame55,5.6,3.131
/es01/paratera/sce0413/czn/part4/2MNZ_frame67/protein.pdb,/es01/paratera/sce0413/czn/part4/2MNZ_frame67/ligand.sdf,2mnz_frame67,5.19,6.854
/es01/paratera/sce0413/czn/part4/1Y2B_frame15/protein.pdb,/es01/paratera/sce0413/czn/part4/1Y2B_frame15/ligand.sdf,1y2b_frame15,4.09,1.166
/es01/paratera/sce0413/czn/part4/3VTB_frame83/protein.pdb,/es01/paratera/sce0413/czn/part4/3VTB_frame83/ligand.sdf,3vtb_frame83,9.3,1.049
/es01/paratera/sce0413/czn/part4/187L_frame35/protein.pdb,/es01/paratera/sce0413/czn/part4/187L_frame35/ligand.sdf,187l_frame35,3.37,2.169
/es01/paratera/sce0413/czn/part4/2IVZ_frame95/protein.pdb,/es01/paratera/sce0413/czn/part4/2IVZ_frame95/ligand.sdf,2ivz_frame95,6.04,3.854
/es01/paratera/sce0413/czn/part4/6Q9W_frame47/protein.pdb,/es01/paratera/sce0413/czn/part4/6Q9W_frame47/ligand.sdf,6q9w_frame47,6.24,3.014
/es01/paratera/sce0413/czn/part4/3QW7_frame23/protein.pdb,/es01/paratera/sce0413/czn/part4/3QW7_frame23/ligand.sdf,3qw7_frame23,5.74,2.613
/es01/paratera/sce0413/czn/part4/5AQP_frame19/protein.pdb,/es01/paratera/sce0413/czn/part4/5AQP_frame19/ligand.sdf,5aqp_frame19,2.68,1.375
