receptor,ligand,name,pk,rmsd
/es01/paratera/sce0413/czn/part4/3DKF_frame75/protein.pdb,/es01/paratera/sce0413/czn/part4/3DKF_frame75/ligand.sdf,3dkf_frame75,8.57,2.004
/es01/paratera/sce0413/czn/part4/5A7C_frame55/protein.pdb,/es01/paratera/sce0413/czn/part4/5A7C_frame55/ligand.sdf,5a7c_frame55,3.74,4.468
/es01/paratera/sce0413/czn/part4/4N9B_frame31/protein.pdb,/es01/paratera/sce0413/czn/part4/4N9B_frame31/ligand.sdf,4n9b_frame31,7.82,1.074
/es01/paratera/sce0413/czn/part4/3I7G_frame35/protein.pdb,/es01/paratera/sce0413/czn/part4/3I7G_frame35/ligand.sdf,3i7g_frame35,6.37,7.475
/es01/paratera/sce0413/czn/part4/2Y6S_frame23/protein.pdb,/es01/paratera/sce0413/czn/part4/2Y6S_frame23/ligand.sdf,2y6s_frame23,6.99,4.034
/es01/paratera/sce0413/czn/part4/4D8A_frame3/protein.pdb,/es01/paratera/sce0413/czn/part4/4D8A_frame3/ligand.sdf,4d8a_frame3,7.12,2.99
/es01/paratera/sce0413/czn/part4/2VPE_frame95/protein.pdb,/es01/paratera/sce0413/czn/part4/2VPE_frame95/ligand.sdf,2vpe_frame95,4.94,2.131
/es01/paratera/sce0413/czn/part4/5CLS_frame55/protein.pdb,/es01/paratera/sce0413/czn/part4/5CLS_frame55/ligand.sdf,5cls_frame55,6.66,4.12
/es01/paratera/sce0413/czn/part4/1V2U_frame71/protein.pdb,/es01/paratera/sce0413/czn/part4/1V2U_frame71/ligand.sdf,1v2u_frame71,3.37,1.38
/es01/paratera/sce0413/czn/part4/2B4L_frame27/protein.pdb,/es01/paratera/sce0413/czn/part4/2B4L_frame27/ligand.sdf,2b4l_frame27,4.77,0.541
/es01/paratera/sce0413/czn/part4/2BFQ_frame19/protein.pdb,/es01/paratera/sce0413/czn/part4/2BFQ_frame19/ligand.sdf,2bfq_frame19,6.89,0.952
