receptor,ligand,name,pk,rmsd
/es01/paratera/sce0413/czn/part4/3SN7_frame75/protein.pdb,/es01/paratera/sce0413/czn/part4/3SN7_frame75/ligand.sdf,3sn7_frame75,9.15,1.845
/es01/paratera/sce0413/czn/part4/1FQ8_frame35/protein.pdb,/es01/paratera/sce0413/czn/part4/1FQ8_frame35/ligand.sdf,1fq8_frame35,6.03,2.075
/es01/paratera/sce0413/czn/part4/4BJB_frame63/protein.pdb,/es01/paratera/sce0413/czn/part4/4BJB_frame63/ligand.sdf,4bjb_frame63,6.66,1.527
/es01/paratera/sce0413/czn/part4/5ENE_frame51/protein.pdb,/es01/paratera/sce0413/czn/part4/5ENE_frame51/ligand.sdf,5ene_frame51,3.23,2.806
/es01/paratera/sce0413/czn/part4/6I12_frame99/protein.pdb,/es01/paratera/sce0413/czn/part4/6I12_frame99/ligand.sdf,6i12_frame99,5.57,1.321
/es01/paratera/sce0413/czn/part4/4NJ9_frame87/protein.pdb,/es01/paratera/sce0413/czn/part4/4NJ9_frame87/ligand.sdf,4nj9_frame87,6.97,2.118
/es01/paratera/sce0413/czn/part4/1C3E_frame19/protein.pdb,/es01/paratera/sce0413/czn/part4/1C3E_frame19/ligand.sdf,1c3e_frame19,6.59,5.128
/es01/paratera/sce0413/czn/part4/4Y3Y_frame35/protein.pdb,/es01/paratera/sce0413/czn/part4/4Y3Y_frame35/ligand.sdf,4y3y_frame35,2.35,1.717
/es01/paratera/sce0413/czn/part4/4A50_frame83/protein.pdb,/es01/paratera/sce0413/czn/part4/4A50_frame83/ligand.sdf,4a50_frame83,7.91,0.874
/es01/paratera/sce0413/czn/part4/1K1L_frame27/protein.pdb,/es01/paratera/sce0413/czn/part4/1K1L_frame27/ligand.sdf,1k1l_frame27,6.9,2.981
/es01/paratera/sce0413/czn/part4/4LY1_frame3/protein.pdb,/es01/paratera/sce0413/czn/part4/4LY1_frame3/ligand.sdf,4ly1_frame3,7.26,1.64
/es01/paratera/sce0413/czn/part4/5AMD_frame11/protein.pdb,/es01/paratera/sce0413/czn/part4/5AMD_frame11/ligand.sdf,5amd_frame11,9.15,1.665
/es01/paratera/sce0413/czn/part4/1NHU_frame87/protein.pdb,/es01/paratera/sce0413/czn/part4/1NHU_frame87/ligand.sdf,1nhu_frame87,5.66,2.912
/es01/paratera/sce0413/czn/part4/6Q7A_frame35/protein.pdb,/es01/paratera/sce0413/czn/part4/6Q7A_frame35/ligand.sdf,6q7a_frame35,8.3,1.172
/es01/paratera/sce0413/czn/part4/3MHM_frame47/protein.pdb,/es01/paratera/sce0413/czn/part4/3MHM_frame47/ligand.sdf,3mhm_frame47,7.0,3.548
/es01/paratera/sce0413/czn/part4/6FKP_frame23/protein.pdb,/es01/paratera/sce0413/czn/part4/6FKP_frame23/ligand.sdf,6fkp_frame23,6.52,5.166
/es01/paratera/sce0413/czn/part4/3UW5_frame91/protein.pdb,/es01/paratera/sce0413/czn/part4/3UW5_frame91/ligand.sdf,3uw5_frame91,7.85,0.899
/es01/paratera/sce0413/czn/part4/5AEI_frame31/protein.pdb,/es01/paratera/sce0413/czn/part4/5AEI_frame31/ligand.sdf,5aei_frame31,8.96,1.717
/es01/paratera/sce0413/czn/part4/1BNU_frame67/protein.pdb,/es01/paratera/sce0413/czn/part4/1BNU_frame67/ligand.sdf,1bnu_frame67,9.7,1.517
/es01/paratera/sce0413/czn/part4/4L7G_frame31/protein.pdb,/es01/paratera/sce0413/czn/part4/4L7G_frame31/ligand.sdf,4l7g_frame31,4.0,5.922
/es01/paratera/sce0413/czn/part4/6HVV_frame59/protein.pdb,/es01/paratera/sce0413/czn/part4/6HVV_frame59/ligand.sdf,6hvv_frame59,6.67,2.623
/es01/paratera/sce0413/czn/part4/3LE8_frame75/protein.pdb,/es01/paratera/sce0413/czn/part4/3LE8_frame75/ligand.sdf,3le8_frame75,6.07,1.798
/es01/paratera/sce0413/czn/part4/2FXS_frame55/protein.pdb,/es01/paratera/sce0413/czn/part4/2FXS_frame55/ligand.sdf,2fxs_frame55,6.28,1.785
/es01/paratera/sce0413/czn/part4/4ZUR_frame43/protein.pdb,/es01/paratera/sce0413/czn/part4/4ZUR_frame43/ligand.sdf,4zur_frame43,7.17,3.118
/es01/paratera/sce0413/czn/part4/4W7P_frame95/protein.pdb,/es01/paratera/sce0413/czn/part4/4W7P_frame95/ligand.sdf,4w7p_frame95,7.49,3.048
/es01/paratera/sce0413/czn/part4/3DRG_frame55/protein.pdb,/es01/paratera/sce0413/czn/part4/3DRG_frame55/ligand.sdf,3drg_frame55,7.0,2.927
/es01/paratera/sce0413/czn/part4/2V95_frame55/protein.pdb,/es01/paratera/sce0413/czn/part4/2V95_frame55/ligand.sdf,2v95_frame55,8.3,0.948
/es01/paratera/sce0413/czn/part4/3IRX_frame43/protein.pdb,/es01/paratera/sce0413/czn/part4/3IRX_frame43/ligand.sdf,3irx_frame43,9.0,4.141
/es01/paratera/sce0413/czn/part4/5AM5_frame51/protein.pdb,/es01/paratera/sce0413/czn/part4/5AM5_frame51/ligand.sdf,5am5_frame51,5.74,1.938
/es01/paratera/sce0413/czn/part4/3GK1_frame47/protein.pdb,/es01/paratera/sce0413/czn/part4/3GK1_frame47/ligand.sdf,3gk1_frame47,4.1,6.246
/es01/paratera/sce0413/czn/part4/1JQ9_frame67/protein.pdb,/es01/paratera/sce0413/czn/part4/1JQ9_frame67/ligand.sdf,1jq9_frame67,8.45,6.014
/es01/paratera/sce0413/czn/part4/1C1R_frame43/protein.pdb,/es01/paratera/sce0413/czn/part4/1C1R_frame43/ligand.sdf,1c1r_frame43,7.63,4.758
/es01/paratera/sce0413/czn/part4/3TIF_frame75/protein.pdb,/es01/paratera/sce0413/czn/part4/3TIF_frame75/ligand.sdf,3tif_frame75,5.38,2.039
/es01/paratera/sce0413/czn/part4/4O7A_frame67/protein.pdb,/es01/paratera/sce0413/czn/part4/4O7A_frame67/ligand.sdf,4o7a_frame67,4.72,0.697
/es01/paratera/sce0413/czn/part4/4U45_frame39/protein.pdb,/es01/paratera/sce0413/czn/part4/4U45_frame39/ligand.sdf,4u45_frame39,8.0,1.012
/es01/paratera/sce0413/czn/part4/3PZ3_frame63/protein.pdb,/es01/paratera/sce0413/czn/part4/3PZ3_frame63/ligand.sdf,3pz3_frame63,6.85,4.007
/es01/paratera/sce0413/czn/part4/3Q96_frame7/protein.pdb,/es01/paratera/sce0413/czn/part4/3Q96_frame7/ligand.sdf,3q96_frame7,8.54,1.464
/es01/paratera/sce0413/czn/part4/6KMJ_frame7/protein.pdb,/es01/paratera/sce0413/czn/part4/6KMJ_frame7/ligand.sdf,6kmj_frame7,4.79,2.33
