receptor,ligand,name,pk,rmsd
/es01/paratera/sce0413/czn/part4/3V6S_frame79/protein.pdb,/es01/paratera/sce0413/czn/part4/3V6S_frame79/ligand.sdf,3v6s_frame79,9.12,3.555
/es01/paratera/sce0413/czn/part4/2XQQ_frame71/protein.pdb,/es01/paratera/sce0413/czn/part4/2XQQ_frame71/ligand.sdf,2xqq_frame71,4.82,1.931
/es01/paratera/sce0413/czn/part4/4MLX_frame43/protein.pdb,/es01/paratera/sce0413/czn/part4/4MLX_frame43/ligand.sdf,4mlx_frame43,3.19,5.178
/es01/paratera/sce0413/czn/part4/4AHU_frame15/protein.pdb,/es01/paratera/sce0413/czn/part4/4AHU_frame15/ligand.sdf,4ahu_frame15,2.27,2.448
/es01/paratera/sce0413/czn/part4/1UYD_frame95/protein.pdb,/es01/paratera/sce0413/czn/part4/1UYD_frame95/ligand.sdf,1uyd_frame95,3.7,1.151
/es01/paratera/sce0413/czn/part4/1NHU_frame19/protein.pdb,/es01/paratera/sce0413/czn/part4/1NHU_frame19/ligand.sdf,1nhu_frame19,5.66,2.958
/es01/paratera/sce0413/czn/part4/3IRX_frame99/protein.pdb,/es01/paratera/sce0413/czn/part4/3IRX_frame99/ligand.sdf,3irx_frame99,9.0,3.432
/es01/paratera/sce0413/czn/part4/4AB8_frame87/protein.pdb,/es01/paratera/sce0413/czn/part4/4AB8_frame87/ligand.sdf,4ab8_frame87,4.62,1.501
/es01/paratera/sce0413/czn/part4/2K3W_frame71/protein.pdb,/es01/paratera/sce0413/czn/part4/2K3W_frame71/ligand.sdf,2k3w_frame71,5.24,2.712
/es01/paratera/sce0413/czn/part4/1LI6_frame23/protein.pdb,/es01/paratera/sce0413/czn/part4/1LI6_frame23/ligand.sdf,1li6_frame23,3.8,0.793
/es01/paratera/sce0413/czn/part4/4Y79_frame91/protein.pdb,/es01/paratera/sce0413/czn/part4/4Y79_frame91/ligand.sdf,4y79_frame91,7.96,2.304
/es01/paratera/sce0413/czn/part4/6QAD_frame39/protein.pdb,/es01/paratera/sce0413/czn/part4/6QAD_frame39/ligand.sdf,6qad_frame39,7.85,4.227
/es01/paratera/sce0413/czn/part4/4ZLY_frame51/protein.pdb,/es01/paratera/sce0413/czn/part4/4ZLY_frame51/ligand.sdf,4zly_frame51,5.46,0.95
/es01/paratera/sce0413/czn/part4/4ZYF_frame47/protein.pdb,/es01/paratera/sce0413/czn/part4/4ZYF_frame47/ligand.sdf,4zyf_frame47,8.64,1.92
/es01/paratera/sce0413/czn/part4/1TNK_frame87/protein.pdb,/es01/paratera/sce0413/czn/part4/1TNK_frame87/ligand.sdf,1tnk_frame87,1.49,2.382
/es01/paratera/sce0413/czn/part4/3K22_frame11/protein.pdb,/es01/paratera/sce0413/czn/part4/3K22_frame11/ligand.sdf,3k22_frame11,7.9,1.364
/es01/paratera/sce0413/czn/part4/6SEN_frame75/protein.pdb,/es01/paratera/sce0413/czn/part4/6SEN_frame75/ligand.sdf,6sen_frame75,5.55,1.429
/es01/paratera/sce0413/czn/part4/3TI6_frame19/protein.pdb,/es01/paratera/sce0413/czn/part4/3TI6_frame19/ligand.sdf,3ti6_frame19,9.27,2.839
/es01/paratera/sce0413/czn/part4/2ZMJ_frame23/protein.pdb,/es01/paratera/sce0413/czn/part4/2ZMJ_frame23/ligand.sdf,2zmj_frame23,7.52,0.843
/es01/paratera/sce0413/czn/part4/5HOG_frame43/protein.pdb,/es01/paratera/sce0413/czn/part4/5HOG_frame43/ligand.sdf,5hog_frame43,3.64,2.039
/es01/paratera/sce0413/czn/part4/4KQR_frame11/protein.pdb,/es01/paratera/sce0413/czn/part4/4KQR_frame11/ligand.sdf,4kqr_frame11,3.9,1.539
/es01/paratera/sce0413/czn/part4/3OWD_frame35/protein.pdb,/es01/paratera/sce0413/czn/part4/3OWD_frame35/ligand.sdf,3owd_frame35,7.52,0.968
/es01/paratera/sce0413/czn/part4/6NFO_frame35/protein.pdb,/es01/paratera/sce0413/czn/part4/6NFO_frame35/ligand.sdf,6nfo_frame35,5.57,1.782
/es01/paratera/sce0413/czn/part4/3G2K_frame95/protein.pdb,/es01/paratera/sce0413/czn/part4/3G2K_frame95/ligand.sdf,3g2k_frame95,4.79,2.043
/es01/paratera/sce0413/czn/part4/3UAT_frame43/protein.pdb,/es01/paratera/sce0413/czn/part4/3UAT_frame43/ligand.sdf,3uat_frame43,6.66,4.275
/es01/paratera/sce0413/czn/part4/1OKL_frame99/protein.pdb,/es01/paratera/sce0413/czn/part4/1OKL_frame99/ligand.sdf,1okl_frame99,6.03,0.929
/es01/paratera/sce0413/czn/part4/4QWF_frame71/protein.pdb,/es01/paratera/sce0413/czn/part4/4QWF_frame71/ligand.sdf,4qwf_frame71,6.0,3.375
/es01/paratera/sce0413/czn/part4/6UDX_frame91/protein.pdb,/es01/paratera/sce0413/czn/part4/6UDX_frame91/ligand.sdf,6udx_frame91,8.0,0.949
/es01/paratera/sce0413/czn/part4/3ISS_frame55/protein.pdb,/es01/paratera/sce0413/czn/part4/3ISS_frame55/ligand.sdf,3iss_frame55,6.05,1.726
/es01/paratera/sce0413/czn/part4/4ABI_frame23/protein.pdb,/es01/paratera/sce0413/czn/part4/4ABI_frame23/ligand.sdf,4abi_frame23,8.2,1.982
/es01/paratera/sce0413/czn/part4/4PNC_frame31/protein.pdb,/es01/paratera/sce0413/czn/part4/4PNC_frame31/ligand.sdf,4pnc_frame31,5.43,7.968
/es01/paratera/sce0413/czn/part4/5AUT_frame43/protein.pdb,/es01/paratera/sce0413/czn/part4/5AUT_frame43/ligand.sdf,5aut_frame43,5.8,1.702
/es01/paratera/sce0413/czn/part4/3RAH_frame67/protein.pdb,/es01/paratera/sce0413/czn/part4/3RAH_frame67/ligand.sdf,3rah_frame67,7.92,2.027
/es01/paratera/sce0413/czn/part4/3CF8_frame15/protein.pdb,/es01/paratera/sce0413/czn/part4/3CF8_frame15/ligand.sdf,3cf8_frame15,6.05,3.525
/es01/paratera/sce0413/czn/part4/1NLJ_frame95/protein.pdb,/es01/paratera/sce0413/czn/part4/1NLJ_frame95/ligand.sdf,1nlj_frame95,9.8,1.912
/es01/paratera/sce0413/czn/part4/6QRD_frame47/protein.pdb,/es01/paratera/sce0413/czn/part4/6QRD_frame47/ligand.sdf,6qrd_frame47,7.0,3.516
/es01/paratera/sce0413/czn/part4/1L83_frame35/protein.pdb,/es01/paratera/sce0413/czn/part4/1L83_frame35/ligand.sdf,1l83_frame35,3.4,2.25
/es01/paratera/sce0413/czn/part4/6NFG_frame35/protein.pdb,/es01/paratera/sce0413/czn/part4/6NFG_frame35/ligand.sdf,6nfg_frame35,4.11,2.286
/es01/paratera/sce0413/czn/part4/1VWN_frame55/protein.pdb,/es01/paratera/sce0413/czn/part4/1VWN_frame55/ligand.sdf,1vwn_frame55,5.82,1.204
/es01/paratera/sce0413/czn/part4/1ODJ_frame39/protein.pdb,/es01/paratera/sce0413/czn/part4/1ODJ_frame39/ligand.sdf,1odj_frame39,4.1,1.239
/es01/paratera/sce0413/czn/part4/1Z1R_frame19/protein.pdb,/es01/paratera/sce0413/czn/part4/1Z1R_frame19/ligand.sdf,1z1r_frame19,9.22,4.219
/es01/paratera/sce0413/czn/part4/3I7G_frame31/protein.pdb,/es01/paratera/sce0413/czn/part4/3I7G_frame31/ligand.sdf,3i7g_frame31,6.37,7.541
/es01/paratera/sce0413/czn/part4/4OTW_frame47/protein.pdb,/es01/paratera/sce0413/czn/part4/4OTW_frame47/ligand.sdf,4otw_frame47,9.28,1.991
/es01/paratera/sce0413/czn/part4/3RXM_frame59/protein.pdb,/es01/paratera/sce0413/czn/part4/3RXM_frame59/ligand.sdf,3rxm_frame59,3.63,0.627
/es01/paratera/sce0413/czn/part4/2XAB_frame99/protein.pdb,/es01/paratera/sce0413/czn/part4/2XAB_frame99/ligand.sdf,2xab_frame99,9.27,0.654
/es01/paratera/sce0413/czn/part4/3DUY_frame7/protein.pdb,/es01/paratera/sce0413/czn/part4/3DUY_frame7/ligand.sdf,3duy_frame7,5.85,3.133
/es01/paratera/sce0413/czn/part4/2BTS_frame55/protein.pdb,/es01/paratera/sce0413/czn/part4/2BTS_frame55/ligand.sdf,2bts_frame55,7.7,0.887
/es01/paratera/sce0413/czn/part4/3UEC_frame27/protein.pdb,/es01/paratera/sce0413/czn/part4/3UEC_frame27/ligand.sdf,3uec_frame27,4.68,8.948
/es01/paratera/sce0413/czn/part4/4TKH_frame91/protein.pdb,/es01/paratera/sce0413/czn/part4/4TKH_frame91/ligand.sdf,4tkh_frame91,5.74,1.025
/es01/paratera/sce0413/czn/part4/6GBE_frame87/protein.pdb,/es01/paratera/sce0413/czn/part4/6GBE_frame87/ligand.sdf,6gbe_frame87,3.5,9.255
/es01/paratera/sce0413/czn/part4/2XGO_frame79/protein.pdb,/es01/paratera/sce0413/czn/part4/2XGO_frame79/ligand.sdf,2xgo_frame79,3.0,3.678
