receptor,ligand,name,pk,rmsd
/es01/paratera/sce0413/czn/part4/3GGU_frame83/protein.pdb,/es01/paratera/sce0413/czn/part4/3GGU_frame83/ligand.sdf,3ggu_frame83,9.77,2.054
/es01/paratera/sce0413/czn/part4/1I8I_frame15/protein.pdb,/es01/paratera/sce0413/czn/part4/1I8I_frame15/ligand.sdf,1i8i_frame15,7.66,3.121
/es01/paratera/sce0413/czn/part4/2ITP_frame27/protein.pdb,/es01/paratera/sce0413/czn/part4/2ITP_frame27/ligand.sdf,2itp_frame27,7.95,1.234
/es01/paratera/sce0413/czn/part4/6S89_frame11/protein.pdb,/es01/paratera/sce0413/czn/part4/6S89_frame11/ligand.sdf,6s89_frame11,8.07,1.183
/es01/paratera/sce0413/czn/part4/6N0M_frame91/protein.pdb,/es01/paratera/sce0413/czn/part4/6N0M_frame91/ligand.sdf,6n0m_frame91,5.82,1.013
/es01/paratera/sce0413/czn/part4/4ZUP_frame79/protein.pdb,/es01/paratera/sce0413/czn/part4/4ZUP_frame79/ligand.sdf,4zup_frame79,6.77,2.75
/es01/paratera/sce0413/czn/part4/3NSQ_frame23/protein.pdb,/es01/paratera/sce0413/czn/part4/3NSQ_frame23/ligand.sdf,3nsq_frame23,5.21,7.049
/es01/paratera/sce0413/czn/part4/4MM8_frame3/protein.pdb,/es01/paratera/sce0413/czn/part4/4MM8_frame3/ligand.sdf,4mm8_frame3,6.11,1.97
/es01/paratera/sce0413/czn/part4/6F26_frame75/protein.pdb,/es01/paratera/sce0413/czn/part4/6F26_frame75/ligand.sdf,6f26_frame75,7.62,1.494
/es01/paratera/sce0413/czn/part4/4XIT_frame75/protein.pdb,/es01/paratera/sce0413/czn/part4/4XIT_frame75/ligand.sdf,4xit_frame75,7.27,4.434
/es01/paratera/sce0413/czn/part4/4DEA_frame79/protein.pdb,/es01/paratera/sce0413/czn/part4/4DEA_frame79/ligand.sdf,4dea_frame79,6.59,2.281
/es01/paratera/sce0413/czn/part4/4U5L_frame19/protein.pdb,/es01/paratera/sce0413/czn/part4/4U5L_frame19/ligand.sdf,4u5l_frame19,2.4,4.217
/es01/paratera/sce0413/czn/part4/1F3E_frame51/protein.pdb,/es01/paratera/sce0413/czn/part4/1F3E_frame51/ligand.sdf,1f3e_frame51,6.7,0.492
/es01/paratera/sce0413/czn/part4/1SKJ_frame83/protein.pdb,/es01/paratera/sce0413/czn/part4/1SKJ_frame83/ligand.sdf,1skj_frame83,5.15,3.969
/es01/paratera/sce0413/czn/part4/3RXG_frame79/protein.pdb,/es01/paratera/sce0413/czn/part4/3RXG_frame79/ligand.sdf,3rxg_frame79,2.15,1.465
/es01/paratera/sce0413/czn/part4/4ZV2_frame35/protein.pdb,/es01/paratera/sce0413/czn/part4/4ZV2_frame35/ligand.sdf,4zv2_frame35,2.93,1.093
/es01/paratera/sce0413/czn/part4/5IAY_frame91/protein.pdb,/es01/paratera/sce0413/czn/part4/5IAY_frame91/ligand.sdf,5iay_frame91,5.8,6.137
/es01/paratera/sce0413/czn/part4/1WAY_frame55/protein.pdb,/es01/paratera/sce0413/czn/part4/1WAY_frame55/ligand.sdf,1way_frame55,3.4,3.315
/es01/paratera/sce0413/czn/part4/1YEJ_frame27/protein.pdb,/es01/paratera/sce0413/czn/part4/1YEJ_frame27/ligand.sdf,1yej_frame27,7.46,3.478
/es01/paratera/sce0413/czn/part4/3U6H_frame79/protein.pdb,/es01/paratera/sce0413/czn/part4/3U6H_frame79/ligand.sdf,3u6h_frame79,9.0,1.025
/es01/paratera/sce0413/czn/part4/1BDL_frame59/protein.pdb,/es01/paratera/sce0413/czn/part4/1BDL_frame59/ligand.sdf,1bdl_frame59,5.85,2.639
/es01/paratera/sce0413/czn/part4/5H8B_frame95/protein.pdb,/es01/paratera/sce0413/czn/part4/5H8B_frame95/ligand.sdf,5h8b_frame95,11.31,0.914
/es01/paratera/sce0413/czn/part4/4L0L_frame35/protein.pdb,/es01/paratera/sce0413/czn/part4/4L0L_frame35/ligand.sdf,4l0l_frame35,7.27,2.938
/es01/paratera/sce0413/czn/part4/4A4Q_frame31/protein.pdb,/es01/paratera/sce0413/czn/part4/4A4Q_frame31/ligand.sdf,4a4q_frame31,9.4,1.652
/es01/paratera/sce0413/czn/part4/5ETH_frame67/protein.pdb,/es01/paratera/sce0413/czn/part4/5ETH_frame67/ligand.sdf,5eth_frame67,7.25,2.255
/es01/paratera/sce0413/czn/part4/4B2L_frame83/protein.pdb,/es01/paratera/sce0413/czn/part4/4B2L_frame83/ligand.sdf,4b2l_frame83,3.24,2.526
/es01/paratera/sce0413/czn/part4/1GPY_frame63/protein.pdb,/es01/paratera/sce0413/czn/part4/1GPY_frame63/ligand.sdf,1gpy_frame63,4.7,2.701
/es01/paratera/sce0413/czn/part4/2DW7_frame23/protein.pdb,/es01/paratera/sce0413/czn/part4/2DW7_frame23/ligand.sdf,2dw7_frame23,4.7,1.628
/es01/paratera/sce0413/czn/part4/2VO4_frame39/protein.pdb,/es01/paratera/sce0413/czn/part4/2VO4_frame39/ligand.sdf,2vo4_frame39,4.94,6.764
/es01/paratera/sce0413/czn/part4/2G01_frame15/protein.pdb,/es01/paratera/sce0413/czn/part4/2G01_frame15/ligand.sdf,2g01_frame15,5.91,2.04
/es01/paratera/sce0413/czn/part4/3UJC_frame71/protein.pdb,/es01/paratera/sce0413/czn/part4/3UJC_frame71/ligand.sdf,3ujc_frame71,4.59,1.659
/es01/paratera/sce0413/czn/part4/2JDT_frame59/protein.pdb,/es01/paratera/sce0413/czn/part4/2JDT_frame59/ligand.sdf,2jdt_frame59,6.77,2.305
/es01/paratera/sce0413/czn/part4/3FU6_frame3/protein.pdb,/es01/paratera/sce0413/czn/part4/3FU6_frame3/ligand.sdf,3fu6_frame3,3.97,2.871
/es01/paratera/sce0413/czn/part4/1U9Q_frame31/protein.pdb,/es01/paratera/sce0413/czn/part4/1U9Q_frame31/ligand.sdf,1u9q_frame31,8.33,2.073
/es01/paratera/sce0413/czn/part4/2WTC_frame71/protein.pdb,/es01/paratera/sce0413/czn/part4/2WTC_frame71/ligand.sdf,2wtc_frame71,7.04,1.171
/es01/paratera/sce0413/czn/part4/2W2I_frame95/protein.pdb,/es01/paratera/sce0413/czn/part4/2W2I_frame95/ligand.sdf,2w2i_frame95,6.04,0.993
/es01/paratera/sce0413/czn/part4/5AV0_frame59/protein.pdb,/es01/paratera/sce0413/czn/part4/5AV0_frame59/ligand.sdf,5av0_frame59,3.55,1.266
/es01/paratera/sce0413/czn/part4/3TSZ_frame39/protein.pdb,/es01/paratera/sce0413/czn/part4/3TSZ_frame39/ligand.sdf,3tsz_frame39,4.46,3.393
